,Description,Max score,Total score,Query cover,E value,Ident,Accession,,
Select seq WP_021493396.1,MULTISPECIES: glucuronoxylanase xynC [Bacillus amyloliquefaciens group],65.5,65.5,0.6,6.00E-08,0.17,WP_021493396.1,,
Select seq WP_022553272.1,MULTISPECIES: hypothetical protein [Bacillus],65.5,65.5,0.6,6.00E-08,0.17,WP_022553272.1,,
Select seq WP_032875082.1,MULTISPECIES: glucuronoxylanase [Bacillus subtilis group],65.5,65.5,0.6,6.00E-08,0.17,WP_032875082.1,,
Select seq WP_095284069.1,glucuronoxylanase [Bacillus velezensis],65.5,65.5,0.6,6.00E-08,0.17,WP_095284069.1,,
Select seq WP_044802969.1,glucuronoxylanase [Bacillus velezensis],65.5,65.5,0.6,6.00E-08,0.17,WP_044802969.1,,
Select seq WP_071581694.1,glucuronoxylanase [Bacillus subtilis],65.5,65.5,0.59,6.00E-08,0.17,WP_071581694.1,,
Select seq WP_038184524.1,xylanase [Vibrio rhizosphaerae],65.2,65.2,0.57,6.00E-08,0.17,WP_038184524.1,,
Select seq XP_007835336.1,hypothetical protein PFICI_08564 [Pestalotiopsis fici W106-1],65.8,65.8,0.78,6.00E-08,0.17,XP_007835336.1,,
Select seq WP_088056485.1,glucuronoxylanase [Bacillus velezensis],65.5,65.5,0.6,6.00E-08,0.17,WP_088056485.1,,
Select seq WP_014418044.1,MULTISPECIES: glucuronoxylanase xynC [Bacillus],65.5,65.5,0.6,6.00E-08,0.17,WP_014418044.1,,
Select seq WP_015388168.1,glucuronoxylanase xynC [Bacillus amyloliquefaciens],65.5,65.5,0.6,6.00E-08,0.17,WP_015388168.1,,
Select seq WP_095060145.1,glucuronoxylanase [Bacillus velezensis],65.5,65.5,0.6,6.00E-08,0.17,WP_095060145.1,,
Select seq WP_046559614.1,MULTISPECIES: glucuronoxylanase [Bacillus],65.5,65.5,0.6,6.00E-08,0.17,WP_046559614.1,,
Select seq WP_110051319.1,xylanase [Chitinophaga sp. S165],65.8,65.8,0.21,6.00E-08,0.17,WP_110051319.1,,
Select seq WP_024085374.1,MULTISPECIES: glucuronoxylanase xynC [Bacillus amyloliquefaciens group],65.5,65.5,0.6,6.00E-08,0.17,WP_024085374.1,,
Select seq WP_044053249.1,MULTISPECIES: glucuronoxylanase [Bacillus subtilis group],65.5,65.5,0.6,6.00E-08,0.17,WP_044053249.1,,
Select seq WP_071181797.1,glucuronoxylanase [Bacillus velezensis],65.2,65.2,0.6,7.00E-08,0.17,WP_071181797.1,,
Select seq WP_033574822.1,glucuronoxylanase [Bacillus amyloliquefaciens],65.2,65.2,0.6,7.00E-08,0.17,WP_033574822.1,,
Select seq WP_014470348.1,MULTISPECIES: glucuronoxylanase xynC [Bacillus subtilis group],65.2,65.2,0.6,7.00E-08,0.17,WP_014470348.1,,
Select seq WP_082998085.1,glucuronoxylanase [Bacillus velezensis],65.2,65.2,0.6,7.00E-08,0.17,WP_082998085.1,,
Select seq WP_073982051.1,glucuronoxylanase [Bacillus amyloliquefaciens],65.2,65.2,0.6,7.00E-08,0.17,WP_073982051.1,,
Select seq WP_013352446.1,glucuronoxylanase xynC [Bacillus amyloliquefaciens],65.2,65.2,0.6,7.00E-08,0.17,WP_013352446.1,,
Select seq WP_103032122.1,glucuronoxylanase [Bacillus subtilis],65.2,65.2,0.59,8.00E-08,0.17,WP_103032122.1,,
Select seq WP_014479948.1,MULTISPECIES: hypothetical protein [Bacillus],64.9,64.9,0.59,8.00E-08,0.17,WP_014479948.1,,
Select seq WP_013402614.1,fibronectin type III domain-containing protein [Caldicellulosiruptor hydrothermalis],65.5,65.5,0.76,8.00E-08,0.17,WP_013402614.1,,
Select seq WP_070549072.1,glucuronoxylanase [Bacillus subtilis],64.9,64.9,0.59,8.00E-08,0.17,WP_070549072.1,,
Select seq WP_038827855.1,MULTISPECIES: glucuronoxylanase [Bacillus],64.9,64.9,0.59,8.00E-08,0.17,WP_038827855.1,,
Select seq WP_064107346.1,glucuronoxylanase [Bacillus velezensis],64.9,64.9,0.6,9.00E-08,0.17,WP_064107346.1,,
Select seq WP_072566343.1,glucuronoxylanase [Bacillus subtilis],64.9,64.9,0.59,9.00E-08,0.17,WP_072566343.1,,
Select seq WP_069149661.1,glucuronoxylanase [Bacillus subtilis],64.9,64.9,0.59,9.00E-08,0.17,WP_069149661.1,,
Select seq WP_069839381.1,glucuronoxylanase [Bacillus sp. F56],64.9,64.9,0.59,1.00E-07,0.17,WP_069839381.1,,
Select seq WP_106605119.1,xylanase [Chitinophaga ginsengisoli],65.2,65.2,0.22,1.00E-07,0.17,WP_106605119.1,,
Select seq WP_110085574.1,glucuronoxylanase [Bacillus velezensis],64.9,64.9,0.6,1.00E-07,0.17,WP_110085574.1,,
Select seq WP_041521354.1,glucuronoxylanase [Bacillus sp. JS],64.6,64.6,0.59,1.00E-07,0.17,WP_041521354.1,,
Select seq WP_028591651.1,glucuronoxylanase [Paenibacillus panacisoli],64.9,64.9,0.6,1.00E-07,0.17,WP_028591651.1,,
Select seq WP_102422664.1,glucuronoxylanase [Bacillus amyloliquefaciens],64.6,64.6,0.6,1.00E-07,0.17,WP_102422664.1,,
Select seq WP_025679920.1,glucuronoxylanase [Paenibacillus massiliensis],64.9,64.9,0.6,1.00E-07,0.17,WP_025679920.1,,
Select seq WP_071579318.1,glucuronoxylanase [Bacillus sp. FMQ74],64.6,64.6,0.59,1.00E-07,0.17,WP_071579318.1,,
Select seq WP_032725834.1,glucuronoxylanase [Bacillus subtilis],64.6,64.6,0.59,1.00E-07,0.17,WP_032725834.1,,
Select seq WP_016935952.1,MULTISPECIES: glucuronoxylanase xynC [Bacillus],64.4,64.4,0.6,1.00E-07,0.17,WP_016935952.1,,
Select seq WP_077391892.1,glucuronoxylanase [Bacillus sp. 275],64.4,64.4,0.57,1.00E-07,0.17,WP_077391892.1,,
Select seq WP_064778982.1,glucuronoxylanase [Bacillus siamensis],64.4,64.4,0.6,1.00E-07,0.17,WP_064778982.1,,
Select seq WP_060962668.1,MULTISPECIES: glucuronoxylanase [Bacillus],64.4,64.4,0.6,1.00E-07,0.17,WP_060962668.1,,
Select seq XP_001904921.1,uncharacterized protein PODANS_5_3770 [Podospora anserina S mat+],64.6,64.6,0.78,1.00E-07,0.17,XP_001904921.1,,
Select seq WP_014471870.1,glucuronoxylanase xynC [Bacillus amyloliquefaciens],64.4,64.4,0.6,1.00E-07,0.17,WP_014471870.1,,
Select seq WP_024716468.1,glucuronoxylanase [Bacillus tequilensis],64.1,64.1,0.6,2.00E-07,0.17,WP_024716468.1,,
Select seq WP_077671717.1,glucuronoxylanase [Bacillus subtilis],63.8,63.8,0.59,2.00E-07,0.17,WP_077671717.1,,
Select seq WP_095432856.1,MULTISPECIES: glucuronoxylanase [Bacillus],63.8,63.8,0.59,2.00E-07,0.17,WP_095432856.1,,
Select seq WP_101169512.1,glucuronoxylanase [Bacillus sp. SN32],63.8,63.8,0.61,2.00E-07,0.17,WP_101169512.1,,
Select seq WP_115997473.1,glucuronoxylanase [Bacillus amyloliquefaciens],63.8,63.8,0.6,2.00E-07,0.17,WP_115997473.1,,
Select seq WP_003231534.1,MULTISPECIES: glucuronoxylanase XynC [Bacillus],63.8,63.8,0.59,2.00E-07,0.17,WP_003231534.1,,
Select seq WP_046381056.1,glucuronoxylanase [Bacillus sp. LM 4-2],63.8,63.8,0.59,2.00E-07,0.17,WP_046381056.1,,
Select seq WP_049140162.1,glucuronoxylanase [Bacillus subtilis],63.5,63.5,0.59,2.00E-07,0.17,WP_049140162.1,,
Select seq WP_088467230.1,glucuronoxylanase [Bacillus subtilis],63.5,63.5,0.59,3.00E-07,0.17,WP_088467230.1,,
Select seq WP_029317861.1,MULTISPECIES: glucuronoxylanase [Bacillus],63.5,63.5,0.59,3.00E-07,0.17,WP_029317861.1,,
Select seq WP_015251993.1,hypothetical protein [Bacillus subtilis],63.5,63.5,0.59,3.00E-07,0.17,WP_015251993.1,,
Select seq WP_018883444.1,glucuronoxylanase xynC [Paenibacillus massiliensis],63.5,63.5,0.6,3.00E-07,0.17,WP_018883444.1,,
Select seq WP_063335418.1,glucuronoxylanase [Bacillus subtilis],63.5,63.5,0.59,3.00E-07,0.17,WP_063335418.1,,
Select seq WP_116316106.1,glucuronoxylanase [Bacillus subtilis],63.2,63.2,0.59,3.00E-07,0.17,WP_116316106.1,,
Select seq WP_063694996.1,glucuronoxylanase [Bacillus subtilis],63.2,63.2,0.59,3.00E-07,0.17,WP_063694996.1,,
Select seq WP_123374448.1,glucuronoxylanase [Bacillus subtilis],62.6,62.6,0.59,5.00E-07,0.17,WP_123374448.1,,
Select seq WP_086343892.1,glucuronoxylanase [Bacillus subtilis],62.3,62.3,0.59,6.00E-07,0.17,WP_086343892.1,,
Select seq WP_094155629.1,carbohydrate-binding protein [Paenibacillus kribbensis],62.3,62.3,0.62,9.00E-07,0.17,WP_094155629.1,,
Select seq WP_049559551.1,hypothetical protein [Nonomuraea sp. SBT364],62,62,0.61,1.00E-06,0.17,WP_049559551.1,,
Select seq WP_015483288.1,endo-xylanase [Bacillus subtilis],60.5,60.5,0.59,3.00E-06,0.17,WP_015483288.1,,
Select seq WP_116127220.1,xylanase [Lewinella sp. IMCC34183],60.5,60.5,0.35,4.00E-06,0.17,WP_116127220.1,,
Select seq WP_098750261.1,glucuronoxylanase [Streptomyces sp. Ru87],59.4,59.4,0.6,6.00E-06,0.17,WP_098750261.1,,
Select seq WP_100445488.1,glucuronoxylanase [Glycomyces xiaoerkulensis],59.4,59.4,0.59,8.00E-06,0.17,WP_100445488.1,,
Select seq WP_081913163.1,glucuronoxylanase [Glycomyces sp. NRRL B-16210],57.6,57.6,0.6,3.00E-05,0.17,WP_081913163.1,,
Select seq WP_020547991.1,hypothetical protein [Nonomuraea coxensis],54.4,54.4,0.13,2.00E-04,0.17,WP_020547991.1,,
Select seq WP_110897522.1,carbohydrate-binding protein [Paenibacillus barcinonensis],53.8,53.8,0.14,5.00E-04,0.17,WP_110897522.1,,
Select seq XP_018035707.1,glycoside hydrolase [Paraphaeosphaeria sporulosa],82.2,82.2,0.77,3.00E-13,0.18,XP_018035707.1,,
Select seq WP_038901251.1,xylanase [Dickeya dadantii],78.4,78.4,0.61,3.00E-12,0.18,WP_038901251.1,,
Select seq WP_013318002.1,xylanase [Dickeya dadantii],78.1,78.1,0.61,5.00E-12,0.18,WP_013318002.1,,
Select seq WP_038909814.1,xylanase [Dickeya dadantii],77.8,77.8,0.61,5.00E-12,0.18,WP_038909814.1,,
Select seq WP_077245629.1,xylanase [Dickeya dadantii],77.8,77.8,0.61,5.00E-12,0.18,WP_077245629.1,,
Select seq XP_002143717.1,"glucosylceramidase, putative [Talaromyces marneffei ATCC 18224]",75.8,75.8,0.79,3.00E-11,0.18,XP_002143717.1,,
Select seq WP_068664971.1,hypothetical protein [Paenibacillus sp. 1ZS3-15],75.5,75.5,0.76,1.00E-10,0.18,WP_068664971.1,,
Select seq XP_020122773.1,hypothetical protein UA08_01655 [Talaromyces atroroseus],73.7,73.7,0.77,1.00E-10,0.18,XP_020122773.1,,
Select seq WP_039517223.1,xylanase [Pectobacterium carotovorum],73.1,73.1,0.6,2.00E-10,0.18,WP_039517223.1,,
Select seq WP_014914778.1,xylanase [Pectobacterium carotovorum],72.6,72.6,0.6,3.00E-10,0.18,WP_014914778.1,,
Select seq WP_039287621.1,xylanase [Pectobacterium carotovorum],72,72,0.6,4.00E-10,0.18,WP_039287621.1,,
Select seq WP_119889633.1,xylanase [Pectobacterium polaris],71.7,71.7,0.6,6.00E-10,0.18,WP_119889633.1,,
Select seq XP_002480048.1,"glucosylceramidase, putative [Talaromyces stipitatus ATCC 10500]",72,72,0.77,6.00E-10,0.18,XP_002480048.1,,
Select seq WP_116181984.1,cellulose-binding protein [Kutzneria buriramensis],72.6,72.6,0.77,6.00E-10,0.18,WP_116181984.1,,
Select seq WP_083601576.1,xylanase [Vibrio quintilis],70.8,70.8,0.75,1.00E-09,0.18,WP_083601576.1,,
Select seq XP_024734742.1,glycoside hydrolase family 30 protein [Meliniomyces bicolor E],69.9,69.9,0.76,3.00E-09,0.18,XP_024734742.1,,
Select seq XP_018254368.1,hypothetical protein FOXG_14741 [Fusarium oxysporum f. sp. lycopersici 4287],69.6,69.6,0.79,4.00E-09,0.18,XP_018254368.1,,
Select seq WP_094983861.1,xylanase [Cellvibrio mixtus],69.6,69.6,0.6,5.00E-09,0.18,WP_094983861.1,,
Select seq WP_017473018.1,glucuronoxylanase xynC [Amphibacillus jilinensis],68.5,68.5,0.59,7.00E-09,0.18,WP_017473018.1,,
Select seq WP_043093475.1,xylanase [Xanthomonas sacchari],67.6,67.6,0.6,1.00E-08,0.18,WP_043093475.1,,
Select seq WP_105441884.1,glucuronoxylanase [Paenibacillus sp. AR247],67.9,67.9,0.61,1.00E-08,0.18,WP_105441884.1,,
Select seq WP_116232669.1,glucuronoxylanase [Paenibacillus sp. VMFN-D1],67.6,67.6,0.61,1.00E-08,0.18,WP_116232669.1,,
Select seq WP_082671408.1,xylanase [Vibrio sp. MEBiC08052],67.3,67.3,0.57,1.00E-08,0.18,WP_082671408.1,,
Select seq WP_076170814.1,glucuronoxylanase [Paenibacillus rhizosphaerae],67.3,67.3,0.61,1.00E-08,0.18,WP_076170814.1,,
Select seq WP_077334369.1,xylanase [Vibrio ruber],66.7,66.7,0.57,3.00E-08,0.18,WP_077334369.1,,
Select seq XP_007916093.1,putative glycoside hydrolase family 30 protein [Phaeoacremonium minimum UCRPA7],67,67,0.75,3.00E-08,0.18,XP_007916093.1,,
Select seq WP_073603070.1,xylanase [Vibrio aerogenes],65.5,65.5,0.59,5.00E-08,0.18,WP_073603070.1,,
Select seq WP_109728102.1,endo-xylanase [Ruminococcus flavefaciens],66.7,66.7,0.61,6.00E-08,0.18,WP_109728102.1,,
Select seq WP_024573168.1,glucuronoxylanase [Bacillus subtilis],65.2,65.2,0.61,8.00E-08,0.18,WP_024573168.1,,
Select seq XP_022476626.1,cellulosome enzyme [Colletotrichum orchidophilum],65.2,65.2,0.76,8.00E-08,0.18,XP_022476626.1,,
Select seq WP_053285110.1,MULTISPECIES: glucuronoxylanase [Bacillus],64.9,64.9,0.57,8.00E-08,0.18,WP_053285110.1,,
Select seq WP_072175925.1,glucuronoxylanase [Bacillus subtilis],64.6,64.6,0.59,1.00E-07,0.18,WP_072175925.1,,
Select seq WP_056033387.1,carbohydrate-binding protein [Paenibacillus sp. Leaf72],65.2,65.2,0.61,1.00E-07,0.18,WP_056033387.1,,
Select seq WP_028520744.1,endo-xylanase [Ruminococcus flavefaciens],65.8,65.8,0.61,1.00E-07,0.18,WP_028520744.1,,
Select seq WP_049635859.1,glucuronoxylanase [Bacillus sp. FJAT-27445],63.8,63.8,0.57,1.00E-07,0.18,WP_049635859.1,,
Select seq WP_040270468.1,glucuronoxylanase [Streptomonospora alba],64.1,64.1,0.79,2.00E-07,0.18,WP_040270468.1,,
Select seq WP_069486601.1,glucuronoxylanase [Bacillus halotolerans],63.8,63.8,0.57,2.00E-07,0.18,WP_069486601.1,,
Select seq WP_087991407.1,glucuronoxylanase [Bacillus subtilis],63.8,63.8,0.57,2.00E-07,0.18,WP_087991407.1,,
Select seq WP_124043314.1,glucuronoxylanase [Bacillus subtilis],63.8,63.8,0.57,2.00E-07,0.18,WP_124043314.1,,
Select seq WP_103747222.1,glucuronoxylanase [Bacillus subtilis],63.8,63.8,0.57,2.00E-07,0.18,WP_103747222.1,,
Select seq WP_075746411.1,MULTISPECIES: glucuronoxylanase [Bacillus subtilis group],63.5,63.5,0.57,3.00E-07,0.18,WP_075746411.1,,
Select seq WP_059291727.1,glucuronoxylanase [Bacillus halotolerans],63.5,63.5,0.57,3.00E-07,0.18,WP_059291727.1,,
Select seq WP_059352684.1,glucuronoxylanase [Bacillus halotolerans],63.5,63.5,0.57,3.00E-07,0.18,WP_059352684.1,,
Select seq WP_076292542.1,hypothetical protein [Paenibacillus peoriae],63.5,63.5,0.62,3.00E-07,0.18,WP_076292542.1,,
Select seq WP_106074197.1,glucuronoxylanase [Bacillus subtilis],63.2,63.2,0.57,3.00E-07,0.18,WP_106074197.1,,
Select seq WP_064814128.1,glucuronoxylanase [Bacillus subtilis],62.9,62.9,0.57,4.00E-07,0.18,WP_064814128.1,,
Select seq WP_071640220.1,carbohydrate-binding protein [Paenibacillus polymyxa],62.9,62.9,0.62,6.00E-07,0.18,WP_071640220.1,,
Select seq WP_014476954.1,glucuronoxylanase xynC [Bacillus subtilis],62,62,0.59,9.00E-07,0.18,WP_014476954.1,,
Select seq WP_060398719.1,glucuronoxylanase [Bacillus subtilis],61.4,61.4,0.57,1.00E-06,0.18,WP_060398719.1,,
Select seq WP_036141812.1,xylanase [Luteibacter sp. 9135],60,60,0.8,4.00E-06,0.18,WP_036141812.1,,
Select seq WP_085979683.1,carbohydrate-binding protein [Paenibacillus terrae],59.7,59.7,0.6,6.00E-06,0.18,WP_085979683.1,,
Select seq WP_095263847.1,MULTISPECIES: glucuronoxylanase [Paenibacillus],58.8,58.8,0.59,9.00E-06,0.18,WP_095263847.1,,
